test_name,parameter,entropy_BCD,three_tangle,witness_value,correlation,execution_time
coherence_test,janus_45deg_trial0,2.4100227758122204,0.15,0,0.22003398922753648,12.530802011489868
coherence_test,janus_45deg_trial1,2.438059883075131,0.141,0,0.20696953492267986,9.77822732925415
coherence_test,janus_45deg_trial2,2.48179656828556,0.104,0,0.2082734935058823,9.102637529373169
coherence_test,ghz_pure_trial0,1.6192240842181302,0.418,0,0.49999999999999983,9.330808401107788
coherence_test,ghz_pure_trial1,1.6051823874976365,0.406,0,0.49999999999999983,9.372103929519653
coherence_test,ghz_pure_trial2,1.5925248371930076,0.453,0,0.49999999999999983,9.267460823059082
coherence_test,w_pure_trial0,1.867441269946367,0.376,0,0.0,9.143221616744995
coherence_test,w_pure_trial1,1.9115231781649453,0.317,0,0.0,9.00431752204895
coherence_test,w_pure_trial2,1.8304466836824456,0.349,0,0.0,9.745706558227539
basis_sweep,theta_0°_trial0,1.9972555134835668,0.461,0,0.3540647975899595,12.711734294891357
basis_sweep,theta_0°_trial1,1.9907258732592525,0.492,0,0.3606772697708324,9.772812843322754
basis_sweep,theta_30°_trial0,2.2540279078901997,0.251,0.5235987755982988,0.2854911098214001,9.009475231170654
basis_sweep,theta_30°_trial1,2.2737420773403416,0.281,0.5235987755982988,0.27571465315937965,9.460107326507568
basis_sweep,theta_45°_trial0,2.444587418159625,0.16,0.7853981633974483,0.2211756898797742,9.930878400802612
basis_sweep,theta_45°_trial1,2.4344510642139103,0.127,0.7853981633974483,0.20964603189030476,9.164977312088013
basis_sweep,theta_60°_trial0,2.5356128602359247,-0.024,1.0471975511965976,0.18578491501308392,6.9400975704193115
basis_sweep,theta_60°_trial1,2.5473805378444045,-0.052,1.0471975511965976,0.1956686246536302,9.494208574295044
basis_sweep,theta_82°_trial0,2.5412600585935223,-0.317,1.427996660722633,0.16397925934735458,8.916403770446777
basis_sweep,theta_82°_trial1,2.5374402538436067,-0.328,1.427996660722633,0.16115597370025916,9.350006341934204
basis_sweep,theta_90°_trial0,2.545808920981008,-0.347,1.5707963267948966,0.16788565567343203,9.468833684921265
basis_sweep,theta_90°_trial1,2.4718608234596546,-0.412,1.5707963267948966,0.17048562602455966,9.48082709312439
witness_test,janus_comp_trial0,1.8899778298988292,0.531,0,0.3666916875289292,8.84351921081543
witness_test,janus_comp_trial1,1.9619976587186534,0.498,0,0.33416547594038587,9.461861610412598
witness_test,janus_comp_trial2,1.9366207848088524,0.495,0,0.3608928326804077,9.139093160629272
witness_test,janus_had_trial0,2.5520643996818855,-0.342,1.5707963267948966,0.1564593329966286,9.56814956665039
witness_test,janus_had_trial1,2.5160757428334617,-0.355,1.5707963267948966,0.15447269302259078,9.210550785064697
witness_test,janus_had_trial2,2.53848550002229,-0.401,1.5707963267948966,0.16002229998302134,9.351003408432007
witness_test,ghz_comp_trial0,0.9997662707810439,0.509,0,0.0,10.174723148345947
witness_test,ghz_comp_trial1,0.9990649315776106,0.482,0,0.0,10.035131216049194
witness_test,ghz_comp_trial2,0.9964625048848765,0.535,0,0.0,9.189990520477295
witness_test,ghz_had_trial0,1.999685831437685,0.265,1.5707963267948966,0.49999999999999983,9.52679967880249
witness_test,ghz_had_trial1,1.9932088859508565,0.27,1.5707963267948966,0.49999999999999983,9.021088123321533
witness_test,ghz_had_trial2,1.9994287760104779,0.258,1.5707963267948966,0.49999999999999983,9.28986930847168
witness_test,w_comp_trial0,1.2405531591993686,0.502,0,0.0,9.68451452255249
witness_test,w_comp_trial1,1.2757691075128126,0.49,0,0.0,11.948082208633423
witness_test,w_comp_trial2,1.2240567752178457,0.514,0,0.0,10.977628946304321
witness_test,w_had_trial0,2.2521836331961667,0.016,1.5707963267948966,0.0,11.046178579330444
witness_test,w_had_trial1,2.2567808877929783,0.001,1.5707963267948966,0.0,9.019635438919067
witness_test,w_had_trial2,2.24238746640758,-0.011,1.5707963267948966,0.0,9.648505449295044
contextuality_test,comp_trial0,1.9516383041786924,0.527,0,0.35767324011395757,9.443729162216187
contextuality_test,comp_trial1,2.0124307823510064,0.481,0,0.3585515448726236,8.947350025177002
contextuality_test,comp_trial2,1.9181112172562618,0.517,0,0.3497074544020184,9.367550373077393
contextuality_test,45deg_trial0,2.4532498086132435,0.132,0.7853981633974483,0.20810030359998744,8.961620569229126
contextuality_test,45deg_trial1,2.409051134677633,0.12,0.7853981633974483,0.23311928521937655,9.329506635665894
contextuality_test,45deg_trial2,2.454182213199605,0.132,0.7853981633974483,0.22571717969589825,8.958749055862427
contextuality_test,had_trial0,2.4501056018445535,-0.402,1.5707963267948966,0.19233571722848494,9.484085083007812
contextuality_test,had_trial1,2.5223220791659147,-0.348,1.5707963267948966,0.16050457669700482,9.33470368385315
contextuality_test,had_trial2,2.4924170871756477,-0.396,1.5707963267948966,0.16870045762382588,9.39065432548523
robustness_test,comp_1000shots,1.945125320995868,0.542,0,0.3469149147327917,9.156137228012085
robustness_test,had_1000shots,2.4614682099559015,-0.412,1.5707963267948966,0.16219223981700276,9.536320686340332
robustness_test,comp_500shots,2.026539287537462,0.472,0,0.35147000922723287,9.211416959762573
robustness_test,had_500shots,2.612781383025692,-0.316,1.5707963267948966,0.21754644519946653,9.76598596572876
robustness_test,comp_250shots,1.9556636023031222,0.512,0,0.40538480781009545,9.227038145065308
robustness_test,had_250shots,2.3632051856246443,-0.424,1.5707963267948966,0.21782075059348147,9.890719413757324
