angle,entropy,tangle,p000,p111,p001,p010,p100,time
0.0,2.321456754887276,-0.008666666666666684,0.19966666666666666,0.0,0.20833333333333334,0.0,0.0,13.559984922409058
10.0,2.3202130645097374,0.01933333333333334,0.214,0.0,0.19466666666666665,0.0,0.0,12.763233661651611
20.0,2.320923665181622,0.006000000000000005,0.20833333333333334,0.0,0.20233333333333334,0.0,0.0,12.747902154922485
30.0,2.3215388367913983,0.005666666666666681,0.20133333333333334,0.0,0.19566666666666666,0.0,0.0,12.77081847190857
40.0,2.3216343878453967,-0.009000000000000008,0.19333333333333333,0.0,0.20233333333333334,0.0,0.0,12.849360942840576
50.0,2.321110112747239,-0.0020000000000000018,0.20066666666666666,0.0,0.20266666666666666,0.0,0.0,12.821429252624512
60.0,2.3201765572587103,-0.008333333333333331,0.20733333333333334,0.0,0.21566666666666667,0.0,0.0,12.767919778823853
70.0,2.3208059336779607,0.015333333333333338,0.20366666666666666,0.0,0.18833333333333332,0.0,0.0,12.67636489868164
80.0,2.3212650333950386,0.007666666666666683,0.198,0.0,0.19033333333333333,0.0,0.0,12.95605731010437
90.0,2.320967212620704,0.0026666666666666505,0.20566666666666666,0.0,0.203,0.0,0.0,12.87710189819336
