angle,entropy_total,entropy_0,entropy_1,discord,mutual_info,steering_param,ghz_witness,w_witness,time
0.0,1.8956487745715866,2.3851786120136613,0.9999816741956121,0.9995844223536735,0.9999278640456617,0.19752784371567778,0.45880936379928317,0.10813492063492064,23.678447008132935
8.181818181818182,1.9335294636930926,2.3980160083777204,1.0597419914594575,0.9669335915333344,0.9669335915333344,0.19461340864761678,0.440594133680078,0.11822660098522167,25.551512241363525
16.363636363636363,1.9543551764108194,2.3521044381855045,1.148386810426023,0.8450432087816222,0.8450432087816222,0.1962853875246191,0.3973604039082605,0.13376110562685095,26.971352100372314
24.545454545454547,1.9866294349627962,2.3210618675418053,1.2223029093944913,0.7245442847489962,0.7245442847489962,0.21851801310862662,0.38079458857136717,0.14972320080523402,25.919060945510864
32.72727272727273,2.0296091749680483,2.228781933120339,1.3884113769654132,0.6176834501998458,0.6176834501998458,0.24034104271673562,0.3501168472487784,0.16430817610062892,25.92635440826416
40.90909090909091,2.128218242395761,2.1778939488040128,1.5591966396003047,0.4501005999498453,0.4501005999498453,0.25750750761138974,0.3129498345418925,0.17328699106256207,31.871962547302246
49.09090909090909,2.1834266730442513,2.1063970950598017,1.667672083399742,0.35378296743168347,0.35378296743168347,0.29770825884945973,0.2751939069806513,0.19743460764587525,29.443589448928833
57.27272727272727,2.2250026552185296,2.045189639556766,1.7824309453883145,0.23191898898661156,0.23191898898661156,0.31178356980786837,0.2504425714620721,0.200652938221999,25.6600444316864
65.45454545454545,2.301036602623852,2.0133170794881714,1.8653123048509028,0.12116846291028516,0.12116846291028516,0.36024186270794223,0.23596938775510207,0.21102941176470588,26.080926656723022
73.63636363636364,2.362660741917162,1.9578325578455638,1.9421408328857686,0.061189243578140484,0.061189243578140484,0.4126701236202557,0.19581417395354347,0.2311344327836082,25.61570167541504
81.81818181818181,2.4096656057579815,1.932460139033394,1.9788668968847176,0.018541510602864797,0.018541510602864797,0.4535960286677265,0.1708998380754106,0.2366412213740458,25.870500087738037
90.0,2.4650039947821885,1.9555498760910457,1.998692556431393,0.0005817958405289758,0.0005817958405289758,0.48799063522181996,0.14421735543388586,0.23656716417910448,26.996798515319824
